Linea;Línea Unificada;Canal de distribución;Anio;Mes;Fac Impo Bruto;Costo Total Com;Fac Kilos;Comercial Kilos;Anul Fact Kilos;Dev Irrecup Kilos;Dev Reparto Kilos
PRODUCTOS ESPECIALES;Productos especiales;Cadenas de Supermercados;2021;Mayo;174041;101591;93;135;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Cadenas de Supermercados;2021;Junio;353891;128125;190;162;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Cadenas de Supermercados;2021;Julio;172420;82388;86;72;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Cadenas de Supermercados;2021;Agosto;741301;281329;348;373;0;0;7
PRODUCTOS ESPECIALES;Productos especiales;Cadenas de Supermercados;2021;Septiembre;236041;75542;110;100;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Cadenas de Supermercados;2021;Octubre;486077;270307;210;190;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Cadenas de Supermercados;2021;Noviembre;350559;251981;152;190;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Cadenas de Supermercados;2021;Diciembre;382861;174096;166;131;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Cadenas de Supermercados;2022;Enero;414132;284052;179;214;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Cadenas de Supermercados;2022;Febrero;363509;87048;145;107;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Cadenas de Supermercados;2022;Marzo;17215;84563;7;69;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Cadenas de Supermercados;2022;Abril;954399;599634;348;355;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Cadenas de Supermercados;2022;Mayo;643276;566230;235;335;0;0;7
PRODUCTOS ESPECIALES;Productos especiales;Cadenas de Supermercados;2022;Junio;303906;367130;110;107;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Cadenas de Supermercados;2022;Julio;515446;57589;173;28;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Distribuidores;2017;Enero;36986;13421;69;79;0;1;0
PRODUCTOS ESPECIALES;Productos especiales;Distribuidores;2017;Febrero;35931;18612;66;106;0;1;3
PRODUCTOS ESPECIALES;Productos especiales;Distribuidores;2017;Marzo;81636;15576;148;160;0;2;0
PRODUCTOS ESPECIALES;Productos especiales;Distribuidores;2017;Abril;79738;14892;145;86;0;1;0
PRODUCTOS ESPECIALES;Productos especiales;Distribuidores;2017;Mayo;60753;17045;110;135;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Distribuidores;2017;Junio;43666;28212;79;131;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Distribuidores;2017;Julio;117500;28800;207;169;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Distribuidores;2017;Agosto;71100;18808;121;110;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Distribuidores;2017;Septiembre;52817;15400;90;66;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Distribuidores;2017;Octubre;68662;49803;110;179;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Distribuidores;2017;Noviembre;121783;48303;190;171;0;1;0
PRODUCTOS ESPECIALES;Productos especiales;Distribuidores;2017;Diciembre;74265;12319;114;44;0;1;0
PRODUCTOS ESPECIALES;Productos especiales;Distribuidores;2018;Enero;26549;31932;38;113;0;1;3
PRODUCTOS ESPECIALES;Productos especiales;Distribuidores;2018;Febrero;77232;12643;110;45;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Distribuidores;2018;Marzo;108608;43440;155;154;0;1;0
PRODUCTOS ESPECIALES;Productos especiales;Distribuidores;2018;Abril;62751;38740;90;134;0;1;0
PRODUCTOS ESPECIALES;Productos especiales;Distribuidores;2018;Mayo;71078;13634;100;45;0;3;0
PRODUCTOS ESPECIALES;Productos especiales;Distribuidores;2018;Junio;38014;19078;48;63;0;2;0
PRODUCTOS ESPECIALES;Productos especiales;Distribuidores;2018;Julio;43241;19599;52;103;0;1;0
PRODUCTOS ESPECIALES;Productos especiales;Distribuidores;2018;Agosto;100214;-6591;110;-25;0;1;52
PRODUCTOS ESPECIALES;Productos especiales;Distribuidores;2018;Septiembre;43882;19772;45;66;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Distribuidores;2018;Octubre;43882;5030;45;17;0;1;0
PRODUCTOS ESPECIALES;Productos especiales;Distribuidores;2018;Noviembre;13502;15610;14;52;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Distribuidores;2018;Diciembre;60760;4163;62;14;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Distribuidores;2019;Enero;6751;6244;7;21;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Distribuidores;2019;Febrero;13502;3122;14;10;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Distribuidores;2019;Marzo;30380;12488;31;41;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Distribuidores;2019;Abril;30380;13528;31;52;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Distribuidores;2019;Mayo;44557;0;45;17;0;0;7
PRODUCTOS ESPECIALES;Productos especiales;Distribuidores;2019;Junio;7426;15502;7;49;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Distribuidores;2019;Julio;92490;9615;86;31;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Distribuidores;2019;Agosto;80278;21853;69;72;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Distribuidores;2019;Septiembre;84993;23935;72;79;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Distribuidores;2019;Octubre;99645;26016;79;86;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Distribuidores;2019;Noviembre;84261;15610;62;52;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Distribuidores;2019;Diciembre;24700;3122;17;10;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Distribuidores;2020;Enero;47605;13528;31;59;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Distribuidores;2020;Febrero;84632;9366;55;55;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Distribuidores;2020;Marzo;100500;12488;66;41;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Distribuidores;2020;Abril;58184;8152;38;27;0;1;0
PRODUCTOS ESPECIALES;Productos especiales;Distribuidores;2020;Mayo;74053;17691;48;59;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Distribuidores;2020;Junio;163974;30179;107;100;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Distribuidores;2020;Julio;43982;8332;28;17;0;0;7
PRODUCTOS ESPECIALES;Productos especiales;Distribuidores;2020;Agosto;44220;11447;28;38;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Distribuidores;2020;Septiembre;66330;19772;41;66;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Distribuidores;2020;Octubre;131444;54703;79;72;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Distribuidores;2020;Noviembre;70310;33864;41;45;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Distribuidores;2020;Diciembre;234367;85712;138;110;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Distribuidores;2021;Enero;17578;31259;10;41;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Distribuidores;2021;Febrero;128902;72937;76;97;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Distribuidores;2021;Marzo;210930;59913;124;79;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Distribuidores;2021;Abril;195931;112011;110;148;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Distribuidores;2021;Mayo;261847;140665;141;186;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Distribuidores;2021;Junio;325713;104196;176;138;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Distribuidores;2021;Julio;355027;156294;183;207;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Distribuidores;2021;Agosto;473022;210997;228;286;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Distribuidores;2021;Septiembre;539650;145874;255;269;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Distribuidores;2021;Octubre;582324;270307;266;204;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Distribuidores;2021;Noviembre;544886;265726;238;200;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Distribuidores;2021;Diciembre;410639;251981;179;190;0;0;35
PRODUCTOS ESPECIALES;Productos especiales;Distribuidores;2022;Enero;505164;270307;210;204;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Distribuidores;2022;Febrero;357966;159436;145;269;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Distribuidores;2022;Marzo;921013;429192;369;435;0;0;3
PRODUCTOS ESPECIALES;Productos especiales;Distribuidores;2022;Abril;1581472;700327;604;451;0;0;1
PRODUCTOS ESPECIALES;Productos especiales;Distribuidores;2022;Mayo;738875;540782;273;424;0;0;17
PRODUCTOS ESPECIALES;Productos especiales;Distribuidores;2022;Junio;1399175;863228;497;442;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Distribuidores;2022;Julio;644278;28794;217;14;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Supermercados;2017;Enero;31150;6955;59;55;0;0;1
PRODUCTOS ESPECIALES;Productos especiales;Supermercados;2017;Febrero;30376;7641;55;48;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Supermercados;2017;Marzo;28478;12931;52;83;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Supermercados;2017;Abril;32275;8831;59;38;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Supermercados;2017;Mayo;55057;25274;100;148;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Supermercados;2017;Junio;104419;39968;190;235;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Supermercados;2017;Julio;114069;25666;201;147;0;0;49
PRODUCTOS ESPECIALES;Productos especiales;Supermercados;2017;Agosto;91414;8229;155;48;0;0;3
PRODUCTOS ESPECIALES;Productos especiales;Supermercados;2017;Septiembre;30471;12076;52;48;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Supermercados;2017;Octubre;21777;25286;35;90;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Supermercados;2017;Noviembre;86355;45709;135;162;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Supermercados;2017;Diciembre;72051;12643;110;45;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Supermercados;2018;Enero;57924;29176;83;104;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Supermercados;2018;Febrero;45857;24314;66;104;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Supermercados;2018;Marzo;53097;12319;76;6;0;0;1
PRODUCTOS ESPECIALES;Productos especiales;Supermercados;2018;Abril;38616;27231;55;97;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Supermercados;2018;Mayo;19742;11447;28;38;0;0;3
PRODUCTOS ESPECIALES;Productos especiales;Supermercados;2018;Junio;119261;22894;152;76;0;0;35
PRODUCTOS ESPECIALES;Productos especiales;Supermercados;2018;Julio;29133;8700;35;28;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Supermercados;2018;Agosto;42210;12488;45;41;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Supermercados;2018;Septiembre;30380;8325;31;28;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Supermercados;2018;Octubre;37131;12488;38;41;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Supermercados;2018;Noviembre;54009;14569;55;48;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Supermercados;2018;Diciembre;27004;8325;28;28;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Supermercados;2019;Enero;30380;19772;31;66;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Supermercados;2019;Febrero;54009;4163;55;14;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Supermercados;2019;Marzo;30380;9366;31;41;0;0;7
PRODUCTOS ESPECIALES;Productos especiales;Supermercados;2019;Abril;10127;4163;10;10;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Supermercados;2019;Mayo;39156;7284;38;24;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Supermercados;2019;Junio;14852;6244;14;21;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Supermercados;2019;Julio;18566;21063;17;69;0;0;3
PRODUCTOS ESPECIALES;Productos especiales;Supermercados;2019;Agosto;74596;7284;69;28;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Supermercados;2019;Septiembre;40473;9366;35;31;0;0;3
PRODUCTOS ESPECIALES;Productos especiales;Supermercados;2019;Octubre;28331;3122;24;17;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Supermercados;2019;Noviembre;46322;6244;35;21;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Supermercados;2019;Diciembre;15432;2948;10;10;0;1;0
PRODUCTOS ESPECIALES;Productos especiales;Supermercados;2020;Enero;31737;14396;21;48;0;1;0
PRODUCTOS ESPECIALES;Productos especiales;Supermercados;2020;Febrero;63474;3122;41;28;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Supermercados;2020;Marzo;52895;5203;35;17;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Supermercados;2020;Abril;26447;7284;17;24;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Supermercados;2020;Mayo;58184;14569;38;48;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Supermercados;2020;Junio;79342;14569;52;48;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Supermercados;2020;Julio;32213;2081;21;14;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Supermercados;2020;Agosto;44220;12488;28;41;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Supermercados;2020;Septiembre;55275;6244;35;28;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Supermercados;2020;Octubre;44552;15623;28;24;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Supermercados;2020;Noviembre;82029;36469;48;48;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Supermercados;2020;Diciembre;52733;23915;31;31;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Supermercados;2021;Enero;17578;26049;10;35;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Supermercados;2021;Febrero;99606;57308;59;69;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Supermercados;2021;Marzo;123043;28654;72;38;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Supermercados;2021;Abril;124097;65123;72;86;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Supermercados;2021;Mayo;86775;39074;48;52;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Supermercados;2021;Junio;134117;62518;72;86;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Supermercados;2021;Julio;255205;88567;131;117;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Supermercados;2021;Agosto;75710;26049;38;48;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Supermercados;2021;Septiembre;102367;23444;48;38;0;0;3
PRODUCTOS ESPECIALES;Productos especiales;Supermercados;2021;Octubre;164665;77885;72;59;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Supermercados;2021;Noviembre;102660;54978;45;41;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Supermercados;2021;Diciembre;173732;146607;76;110;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Supermercados;2022;Enero;170810;36652;72;28;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Supermercados;2022;Febrero;68861;70097;28;93;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Supermercados;2022;Marzo;137722;112219;55;169;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Supermercados;2022;Abril;628182;239200;245;148;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Supermercados;2022;Mayo;382349;295101;141;193;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Supermercados;2022;Junio;479246;170599;173;93;0;28;0
PRODUCTOS ESPECIALES;Productos especiales;Supermercados;2022;Julio;122720;0;41;-3;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Grandes Mayoristas;2017;Enero;16524;15086;31;89;0;1;0
PRODUCTOS ESPECIALES;Productos especiales;Grandes Mayoristas;2017;Febrero;79738;72784;145;427;0;1;0
PRODUCTOS ESPECIALES;Productos especiales;Grandes Mayoristas;2017;Marzo;233518;24490;424;144;0;1;10
PRODUCTOS ESPECIALES;Productos especiales;Grandes Mayoristas;2017;Abril;72144;11069;131;65;0;0;1
PRODUCTOS ESPECIALES;Productos especiales;Grandes Mayoristas;2017;Mayo;20884;22237;38;131;0;1;3
PRODUCTOS ESPECIALES;Productos especiales;Grandes Mayoristas;2017;Junio;85433;21649;155;127;0;1;0
PRODUCTOS ESPECIALES;Productos especiales;Grandes Mayoristas;2017;Julio;66980;43396;121;255;0;1;0
PRODUCTOS ESPECIALES;Productos especiales;Grandes Mayoristas;2017;Agosto;280336;42221;476;248;0;1;0
PRODUCTOS ESPECIALES;Productos especiales;Grandes Mayoristas;2017;Septiembre;21411;15351;35;49;0;1;12
PRODUCTOS ESPECIALES;Productos especiales;Grandes Mayoristas;2017;Octubre;53142;23341;83;83;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Grandes Mayoristas;2017;Noviembre;26571;5835;41;21;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Grandes Mayoristas;2017;Diciembre;84473;34849;121;124;0;1;3
PRODUCTOS ESPECIALES;Productos especiales;Grandes Mayoristas;2018;Enero;16895;34687;24;113;0;1;3
PRODUCTOS ESPECIALES;Productos especiales;Grandes Mayoristas;2018;Febrero;84473;0;121;0;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Grandes Mayoristas;2018;Marzo;16895;6808;24;24;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Grandes Mayoristas;2018;Abril;9654;16533;14;59;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Grandes Mayoristas;2018;Mayo;47160;7780;66;28;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Grandes Mayoristas;2018;Junio;5261;3122;7;10;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Grandes Mayoristas;2018;Julio;11699;16477;14;55;0;1;0
PRODUCTOS ESPECIALES;Productos especiales;Grandes Mayoristas;2018;Agosto;46453;0;52;0;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Grandes Mayoristas;2018;Septiembre;33755;17691;35;59;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Grandes Mayoristas;2018;Octubre;16878;0;17;-7;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Grandes Mayoristas;2018;Noviembre;20253;6244;21;21;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Grandes Mayoristas;2018;Diciembre;3376;1041;3;3;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Grandes Mayoristas;2019;Enero;0;0;0;0;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Grandes Mayoristas;2019;Febrero;0;-2081;0;-7;0;0;7
PRODUCTOS ESPECIALES;Productos especiales;Grandes Mayoristas;2019;Marzo;0;0;0;0;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Grandes Mayoristas;2019;Abril;0;0;0;0;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Grandes Mayoristas;2019;Mayo;40844;11447;38;38;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Grandes Mayoristas;2019;Junio;0;17691;0;59;0;0;3
PRODUCTOS ESPECIALES;Productos especiales;Grandes Mayoristas;2019;Julio;71514;6244;62;21;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Grandes Mayoristas;2019;Agosto;23838;0;21;0;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Grandes Mayoristas;2019;Septiembre;0;-2081;0;-7;0;0;7
PRODUCTOS ESPECIALES;Productos especiales;Grandes Mayoristas;2019;Octubre;10194;2081;7;7;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Grandes Mayoristas;2019;Noviembre;0;0;0;0;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Grandes Mayoristas;2019;Diciembre;0;44748;0;148;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Grandes Mayoristas;2020;Enero;238903;1041;148;3;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Grandes Mayoristas;2020;Febrero;5556;2081;3;7;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Grandes Mayoristas;2020;Marzo;0;0;0;0;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Grandes Mayoristas;2020;Abril;11112;0;7;0;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Grandes Mayoristas;2020;Mayo;0;17691;0;59;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Grandes Mayoristas;2020;Junio;95117;13528;55;45;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Grandes Mayoristas;2020;Julio;59448;0;35;0;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Grandes Mayoristas;2020;Agosto;5945;0;3;0;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Grandes Mayoristas;2020;Septiembre;17834;0;10;0;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Grandes Mayoristas;2020;Octubre;0;23444;0;31;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Grandes Mayoristas;2020;Noviembre;59266;0;31;0;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Grandes Mayoristas;2020;Diciembre;59266;33864;31;45;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Grandes Mayoristas;2021;Enero;26340;0;14;0;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Grandes Mayoristas;2021;Febrero;0;0;0;0;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Grandes Mayoristas;2021;Marzo;0;0;0;0;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Grandes Mayoristas;2021;Abril;0;0;0;0;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Grandes Mayoristas;2021;Mayo;0;0;0;0;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Grandes Mayoristas;2021;Junio;0;0;0;0;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Grandes Mayoristas;2021;Julio;0;0;0;0;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Grandes Mayoristas;2021;Diciembre;310632;339030;121;255;0;0;3
PRODUCTOS ESPECIALES;Productos especiales;Grandes Mayoristas;2022;Enero;355008;0;138;0;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Grandes Mayoristas;2022;Febrero;0;0;0;0;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Grandes Mayoristas;2022;Marzo;0;0;0;0;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Grandes Mayoristas;2022;Abril;0;653955;0;400;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Grandes Mayoristas;2022;Mayo;991196;909908;324;593;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Grandes Mayoristas;2022;Junio;2208892;-5269;669;-3;0;0;3
PRODUCTOS ESPECIALES;Productos especiales;Grandes Mayoristas;2022;Julio;0;361861;0;173;0;0;3
PRODUCTOS ESPECIALES;Productos especiales;Mayoristas;2017;Enero;16383;3527;31;21;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Mayoristas;2017;Febrero;3797;0;7;0;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Mayoristas;2017;Marzo;17087;5290;31;35;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Mayoristas;2017;Abril;9493;2939;17;14;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Mayoristas;2017;Mayo;15188;9404;28;55;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Mayoristas;2017;Junio;18985;-588;35;-3;0;0;17
PRODUCTOS ESPECIALES;Productos especiales;Mayoristas;2017;Julio;54583;25323;93;114;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Mayoristas;2017;Agosto;16251;1763;28;10;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Mayoristas;2017;Septiembre;14220;3890;24;14;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Mayoristas;2017;Octubre;48713;21438;76;90;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Mayoristas;2017;Noviembre;26571;9725;41;35;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Mayoristas;2017;Diciembre;33390;11670;48;41;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Mayoristas;2018;Enero;38616;17506;55;62;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Mayoristas;2018;Febrero;7241;2918;10;10;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Mayoristas;2018;Marzo;7241;2918;10;10;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Mayoristas;2018;Abril;19308;19451;28;69;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Mayoristas;2018;Mayo;36420;1041;52;3;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Mayoristas;2018;Junio;0;2081;0;7;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Mayoristas;2018;Julio;5735;1041;7;3;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Mayoristas;2018;Agosto;16599;5203;17;17;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Mayoristas;2018;Septiembre;3376;0;3;0;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Mayoristas;2018;Octubre;23629;7284;24;24;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Mayoristas;2018;Noviembre;10127;3122;10;10;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Mayoristas;2018;Diciembre;13502;6244;14;21;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Mayoristas;2019;Enero;23629;5203;24;17;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Mayoristas;2019;Febrero;6751;6244;7;21;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Mayoristas;2019;Marzo;13502;2081;14;7;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Mayoristas;2019;Abril;6751;8325;7;28;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Mayoristas;2019;Mayo;27004;0;28;0;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Mayoristas;2019;Junio;3713;-8325;3;-28;0;35;0
PRODUCTOS ESPECIALES;Productos especiales;Mayoristas;2019;Julio;3713;4163;3;14;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Mayoristas;2019;Agosto;59373;13528;52;45;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Mayoristas;2019;Septiembre;8095;6244;7;21;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Mayoristas;2019;Octubre;50753;6244;41;21;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Mayoristas;2019;Noviembre;9705;2081;7;7;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Mayoristas;2019;Diciembre;0;1041;0;3;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Mayoristas;2020;Enero;15868;3122;10;14;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Mayoristas;2020;Febrero;10579;4683;7;19;0;2;0
PRODUCTOS ESPECIALES;Productos especiales;Mayoristas;2020;Marzo;31737;0;21;0;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Mayoristas;2020;Abril;10579;6244;7;21;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Mayoristas;2020;Mayo;26447;1041;17;3;0;0;0
PRODUCTOS ESPECIALES;Productos especiales;Mayoristas;2020;Junio;5289;867;3;3;0;1;0
