Linea;Línea Unificada;Canal de distribución;Anio;Mes;Fac Impo Bruto;Costo Total Com;Fac Kilos;Comercial Kilos;Anul Fact Kilos;Dev Irrecup Kilos;Dev Reparto Kilos
YERBA MATE TRADICIONAL;Yerba Mate;Cadenas de Supermercados;2019;Enero;71916325;29380101;697959;679369;0;3007;3073
YERBA MATE TRADICIONAL;Yerba Mate;Cadenas de Supermercados;2019;Febrero;75399851;41613274;755433;784407;0;2224;26159
YERBA MATE TRADICIONAL;Yerba Mate;Cadenas de Supermercados;2019;Marzo;82470547;33785350;752273;690141;0;1464;1345
YERBA MATE TRADICIONAL;Yerba Mate;Cadenas de Supermercados;2019;Abril;101379073;45234118;898110;932771;503;5622;17114
YERBA MATE TRADICIONAL;Yerba Mate;Cadenas de Supermercados;2019;Mayo;145298251;55351232;1211739;918435;0;1939;52927
YERBA MATE TRADICIONAL;Yerba Mate;Cadenas de Supermercados;2019;Junio;71403675;54579740;546064;944518;0;5976;15236
YERBA MATE TRADICIONAL;Yerba Mate;Cadenas de Supermercados;2019;Julio;118044969;45141793;893584;650672;7647;2587;8088
YERBA MATE TRADICIONAL;Yerba Mate;Cadenas de Supermercados;2019;Agosto;125513392;68153850;927612;1024613;6412;1753;367
YERBA MATE TRADICIONAL;Yerba Mate;Cadenas de Supermercados;2019;Septiembre;166005696;57891735;1109151;856975;945;3409;3410
YERBA MATE TRADICIONAL;Yerba Mate;Cadenas de Supermercados;2019;Octubre;152752383;80100999;910649;1088084;0;1670;5053
YERBA MATE TRADICIONAL;Yerba Mate;Cadenas de Supermercados;2019;Noviembre;145886754;68034918;776092;843739;0;3060;6936
YERBA MATE TRADICIONAL;Yerba Mate;Cadenas de Supermercados;2019;Diciembre;160417903;56933257;844307;614447;0;2176;13515
YERBA MATE TRADICIONAL;Yerba Mate;Cadenas de Supermercados;2020;Enero;119850512;35524327;631424;418396;0;996;1108
YERBA MATE TRADICIONAL;Yerba Mate;Cadenas de Supermercados;2020;Febrero;104355786;71682563;562343;722555;165;899;1648
YERBA MATE TRADICIONAL;Yerba Mate;Cadenas de Supermercados;2020;Marzo;199415357;93996311;1066648;950640;0;28;3136
YERBA MATE TRADICIONAL;Yerba Mate;Cadenas de Supermercados;2020;Abril;152470353;85656953;822746;873085;0;1230;7848
YERBA MATE TRADICIONAL;Yerba Mate;Cadenas de Supermercados;2020;Mayo;207013061;108153714;1100077;1044965;0;1396;815
YERBA MATE TRADICIONAL;Yerba Mate;Cadenas de Supermercados;2020;Junio;167562226;86726795;885221;768135;0;1316;1488
YERBA MATE TRADICIONAL;Yerba Mate;Cadenas de Supermercados;2020;Julio;116870226;113964554;611455;875543;1986;2302;1946
YERBA MATE TRADICIONAL;Yerba Mate;Cadenas de Supermercados;2020;Agosto;184674020;119442911;912198;896963;1251;733;2512
YERBA MATE TRADICIONAL;Yerba Mate;Cadenas de Supermercados;2020;Septiembre;183000241;117191882;878230;779164;0;809;22910
YERBA MATE TRADICIONAL;Yerba Mate;Cadenas de Supermercados;2020;Octubre;222473064;148499705;918226;915818;0;0;1790
YERBA MATE TRADICIONAL;Yerba Mate;Cadenas de Supermercados;2020;Noviembre;243708558;129250059;957008;914499;0;0;2341
YERBA MATE TRADICIONAL;Yerba Mate;Cadenas de Supermercados;2020;Diciembre;148876792;94837253;604096;637612;0;0;7780
YERBA MATE TRADICIONAL;Yerba Mate;Cadenas de Supermercados;2021;Enero;203580615;126122265;733104;806145;0;0;25693
YERBA MATE TRADICIONAL;Yerba Mate;Cadenas de Supermercados;2021;Febrero;189269450;97353210;677521;664582;0;0;1364
YERBA MATE TRADICIONAL;Yerba Mate;Cadenas de Supermercados;2021;Marzo;224462593;115250697;796474;850904;0;265;1373
YERBA MATE TRADICIONAL;Yerba Mate;Cadenas de Supermercados;2021;Abril;259666489;130798041;896130;776852;0;1018;40903
YERBA MATE TRADICIONAL;Yerba Mate;Cadenas de Supermercados;2021;Mayo;244583588;111794163;789063;692673;0;342;15424
YERBA MATE TRADICIONAL;Yerba Mate;Cadenas de Supermercados;2021;Junio;175526561;146425522;572218;786420;0;835;821
YERBA MATE TRADICIONAL;Yerba Mate;Cadenas de Supermercados;2021;Julio;256364648;165644837;764067;825695;0;256;133
YERBA MATE TRADICIONAL;Yerba Mate;Cadenas de Supermercados;2021;Agosto;332180306;171828274;915271;838740;0;623;1757
YERBA MATE TRADICIONAL;Yerba Mate;Cadenas de Supermercados;2021;Septiembre;315855503;150208302;876183;713539;0;524;14751
YERBA MATE TRADICIONAL;Yerba Mate;Cadenas de Supermercados;2021;Octubre;248247796;178792517;628574;714510;0;591;200
YERBA MATE TRADICIONAL;Yerba Mate;Cadenas de Supermercados;2021;Noviembre;239408666;106724596;604182;498099;0;932;8640
YERBA MATE TRADICIONAL;Yerba Mate;Cadenas de Supermercados;2021;Diciembre;231325813;142248990;582276;500982;0;1018;9480
YERBA MATE TRADICIONAL;Yerba Mate;Cadenas de Supermercados;2022;Enero;176930275;110203191;422357;485287;0;272;1883
YERBA MATE TRADICIONAL;Yerba Mate;Cadenas de Supermercados;2022;Febrero;252518062;162430117;608207;644680;0;478;648
YERBA MATE TRADICIONAL;Yerba Mate;Cadenas de Supermercados;2022;Marzo;361224286;175375225;867849;796349;0;724;2935
YERBA MATE TRADICIONAL;Yerba Mate;Cadenas de Supermercados;2022;Abril;388067740;184668468;853663;803528;0;551;404
YERBA MATE TRADICIONAL;Yerba Mate;Cadenas de Supermercados;2022;Mayo;270823002;182722125;584810;681878;0;859;12293
YERBA MATE TRADICIONAL;Yerba Mate;Cadenas de Supermercados;2022;Junio;370468158;207448564;760493;767567;0;760;2280
YERBA MATE TRADICIONAL;Yerba Mate;Cadenas de Supermercados;2022;Julio;137561249;18933892;271398;55239;0;330;1366
YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;2017;Enero;22945599;12987648;539745;577050;625;978;8392
YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;2017;Febrero;27172419;16101037;642162;726978;0;482;2060
YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;2017;Marzo;35736972;16189858;821120;739885;0;625;2322
YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;2017;Abril;28143103;14818119;627454;672817;0;778;2722
YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;2017;Mayo;34955038;14464375;774378;651739;0;1110;4214
YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;2017;Junio;30587247;16501491;674348;742077;0;949;3376
YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;2017;Julio;29384073;14390616;630482;616290;0;953;4293
YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;2017;Agosto;30847745;16893487;633116;700605;0;2116;2026
YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;2017;Septiembre;37493860;19832668;764965;818849;0;689;2447
YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;2017;Octubre;34773233;13890585;704701;554476;0;1070;4360
YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;2017;Noviembre;31517640;16364352;598276;688715;0;591;3720
YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;2017;Diciembre;30253229;12209622;573894;488367;0;858;5445
YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;2018;Enero;33886979;15111713;604744;511740;0;744;32362
YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;2018;Febrero;28911786;16780885;511214;567129;0;482;2466
YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;2018;Marzo;41075671;24542090;734016;845515;0;811;5460
YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;2018;Abril;49566441;30092046;885770;1023855;0;848;469
YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;2018;Mayo;53444075;29099893;928605;914732;0;3098;4971
YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;2018;Junio;51530585;27030192;833113;836581;100;824;1715
YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;2018;Julio;52399032;22384190;784898;673882;0;851;2687
YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;2018;Agosto;44075378;19700052;603431;566618;0;791;3585
YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;2018;Septiembre;54567268;26266451;707038;715014;0;681;3389
YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;2018;Octubre;59201759;22809305;740325;625653;0;710;9378
YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;2018;Noviembre;52913482;23125171;623238;565544;600;824;12678
YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;2018;Diciembre;44101673;21624874;506109;531844;0;686;745
YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;2019;Enero;55940635;22749662;603678;543660;0;640;2888
YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;2019;Febrero;57504974;26236693;611228;639733;0;501;1069
YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;2019;Marzo;55476029;27467259;553819;650129;0;1148;5816
YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;2019;Abril;66589418;30272687;643835;642265;0;743;1301
YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;2019;Mayo;62958229;22634596;562302;404346;0;703;1415
YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;2019;Junio;44639279;24177020;372694;416110;0;651;549
YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;2019;Julio;64751643;30397670;532299;497310;0;861;1264
YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;2019;Agosto;62562294;33565877;489805;519191;0;393;894
YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;2019;Septiembre;76062365;33504973;571619;443394;1767;716;1265
YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;2019;Octubre;65004113;31007010;459005;438224;3;676;2405
YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;2019;Noviembre;53157093;33537281;348844;444109;0;492;13467
YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;2019;Diciembre;92484518;30285983;547090;390089;0;512;3309
YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;2020;Enero;50773849;27061226;284563;329102;150;253;2741
YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;2020;Febrero;80925340;43744868;449167;475890;1050;1602;2561
YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;2020;Marzo;76210327;37627387;422872;449714;0;233;1608
YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;2020;Abril;112941252;52762242;631636;535128;0;555;2842
YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;2020;Mayo;90837944;53473463;508826;528758;0;615;1878
YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;2020;Junio;88415014;51008728;485841;480278;0;775;1271
YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;2020;Julio;76432725;58889378;417718;466042;0;740;3400
YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;2020;Agosto;88007577;71150072;470080;531971;150;359;3510
YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;2020;Septiembre;98581670;72033746;471513;515653;0;334;3364
YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;2020;Octubre;136975685;63571309;531349;458579;0;259;271
YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;2020;Noviembre;120773304;62046891;459692;441650;0;228;1238
YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;2020;Diciembre;114588299;57103295;425661;410777;0;245;2931
YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;2021;Enero;125118053;62423602;445312;428884;0;326;1229
YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;2021;Febrero;110754494;71214842;396309;499996;0;308;1210
YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;2021;Marzo;155035586;78862307;577174;640246;0;1257;1199
YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;2021;Abril;160623834;80683527;617302;488179;0;138;1166
YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;2021;Mayo;142958422;103516070;488388;618405;0;251;1949
YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;2021;Junio;201143650;115513738;684311;638428;0;333;5533
YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;2021;Julio;167136581;103687340;550155;568563;0;257;1937
YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;2021;Agosto;180519111;99167184;551470;499922;0;681;1292
YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;2021;Septiembre;182314500;109998106;527947;551467;0;247;3695
